detector (E),detector (H)
[ 0.00000000e+00  0.00000000e+00 -4.59204903e-05],[-2.03324031e-05  7.73955919e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -1.21711592e-05],[2.36842095e-05 7.08003556e-05 0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -6.97125521e-05],[-2.49863041e-05  7.81702051e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -7.04457663e-05],[6.72010057e-07 6.95262944e-05 0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -5.35468172e-05],[-1.73582271e-05  3.72451506e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -7.30390801e-05],[-1.72709126e-05  2.21152870e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -7.78007854e-06],[ 5.97827006e-06 -2.40059909e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -3.80232605e-05],[-3.24460846e-05 -3.87628056e-05  0.00000000e+00]
[0.0000000e+00 0.0000000e+00 4.3225352e-05],[ 2.69769326e-05 -6.98743475e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 1.98537246e-05],[-1.75606187e-05 -7.49134460e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 5.50625657e-05],[ 2.42547332e-05 -6.51462252e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 6.89437969e-05],[ 1.93088008e-05 -6.29105930e-05  0.00000000e+00]
[0.0000000e+00 0.0000000e+00 1.4493458e-05],[-3.09316247e-06 -1.21132357e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 7.57044658e-05],[ 4.33314528e-05 -1.54781961e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -2.59262286e-05],[-2.14772306e-05  3.78798717e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 3.93847184e-05],[3.15409423e-05 2.44040188e-05 0.00000000e+00]
[ 0.0000000e+00  0.0000000e+00 -1.7626994e-05],[-9.69272758e-06  3.69810930e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 5.29671342e-06],[8.68370624e-06 1.84855757e-05 0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -1.51625949e-07],[4.71463358e-06 2.89671850e-06 0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -3.69430529e-06],[ 8.43603594e-07 -2.46868271e-06  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -6.64442939e-06],[-2.21009738e-06 -3.28495836e-06  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -2.49669941e-06],[-4.82007005e-07 -2.64457504e-06  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 2.60553541e-07],[ 0.00000000e+00 -2.67616308e-07  0.00000000e+00]
